Entry,Entry name,Status,Protein names,Gene names,Organism,Length,GO
Q12749,SMC6_YEAST,reviewed,Structural maintenance of chromosomes protein 6 (DNA repair protein RHC18) (Rad18 homolog),SMC6 RHC18 YLR383W L3502.2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1114,GO:0006974
P47037,SMC3_YEAST,reviewed,Structural maintenance of chromosomes protein 3 (DA-box protein SMC3),SMC3 YJL074C J1049,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1230,GO:0006974
P32558,SPT16_YEAST,reviewed,FACT complex subunit SPT16 (Cell division control protein 68) (Facilitates chromatin transcription complex subunit SPT16) (Suppressor of Ty protein 16),SPT16 CDC68 SSF1 YGL207W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1035,GO:0006974
P35169,TOR1_YEAST,reviewed,Serine/threonine-protein kinase TOR1 (EC 2.7.11.1) (Dominant rapamycin resistance protein 1) (Phosphatidylinositol kinase homolog TOR1) (Target of rapamycin kinase 1),TOR1 DRR1 YJR066W J1803,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2470,GO:0006974
P18888,SNF6_YEAST,reviewed,Transcription regulatory protein SNF6 (SWI/SNF complex component SNF6),SNF6 YHL025W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),332,GO:0006974
P38293,UMP1_YEAST,reviewed,Proteasome maturation factor UMP1,UMP1 YBR173C YBR1234,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),148,GO:0006974
Q04471,YM04_YEAST,reviewed,Abasic site processing protein YMR114C (EC 3.4.-.-),YMR114C YM9718.13C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),368,GO:0006974
A0A023PXP4,YL235_YEAST,reviewed,Putative uncharacterized protein YLR235C,YLR235C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),132,GO:0006974
P53840,TOF1_YEAST,reviewed,Topoisomerase 1-associated factor 1,TOF1 YNL273W N0636,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1238,GO:0006974
Q03290,TFB3_YEAST,reviewed,RNA polymerase II transcription factor B subunit 3 (RNA polymerase II transcription factor B 38 kDa subunit) (RNA polymerase II transcription factor B p38 subunit),TFB3 RIG2 YDR460W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),321,GO:0006974
Q12004,TFB4_YEAST,reviewed,General transcription and DNA repair factor IIH subunit TFB4 (TFIIH subunit TFB4) (RNA polymerase II transcription factor B 34 kDa subunit) (RNA polymerase II transcription factor B p34 subunit) (RNA polymerase II transcription factor B subunit 4),TFB4 YPR056W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),338,GO:0006974
P40352,RAD26_YEAST,reviewed,DNA repair and recombination protein RAD26 (EC 3.6.4.12) (ATP-dependent helicase RAD26),RAD26 GTA1085 YJR035W J1606,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1085,GO:0006974
C7GQI8,RDH54_YEAS2,reviewed,DNA repair and recombination protein RDH54 (RAD homolog 54) (Recombination factor TID1) (Two hybrid interaction with DMC1 protein 1) [Includes: DNA topoisomerase (EC 5.99.1.-); Putative helicase (EC 3.6.4.12)],RDH54 TID1 C1Q_02585,Saccharomyces cerevisiae (strain JAY291) (Baker's yeast),924,GO:0006974
Q07794,RT109_YEAST,reviewed,Histone acetyltransferase RTT109 (EC 2.3.1.48) (Regulator of Ty1 transposition protein 109),RTT109 KIM2 REM50 YLL002W L1377,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),436,GO:0006974
Q04002,SCC2_YEAST,reviewed,Sister chromatid cohesion protein 2,SCC2 YDR180W YD9395.14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1493,GO:0006974
P12753,RAD50_YEAST,reviewed,DNA repair protein RAD50 (EC 3.6.-.-) (153 kDa protein),RAD50 YNL250W N0872,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1312,GO:0006974
P14737,RAD9_YEAST,reviewed,DNA repair protein RAD9,RAD9 YDR217C YD9934.02C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1309,GO:0006974
P12689,REV1_YEAST,reviewed,DNA repair protein REV1 (EC 2.7.7.-) (Reversionless protein 1),REV1 YOR346W O6339,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),985,GO:0006974
P38629,RFC3_YEAST,reviewed,Replication factor C subunit 3 (Replication factor C3) (Activator 1 40 kDa subunit),RFC3 YNL290W N0533,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),340,GO:0006974
Q12158,SCC1_YEAST,reviewed,Sister chromatid cohesion protein 1,MCD1 PDS3 RHC21 SCC1 YDL003W YD8119.04,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),566,GO:0006974
A7A134,SLX4_YEAS7,reviewed,Structure-specific endonuclease subunit SLX4,SLX4 SCY_3708,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),748,GO:0006974
P32776,TFB1_YEAST,reviewed,General transcription and DNA repair factor IIH subunit TFB1 (TFIIH subunit TFB1) (RNA polymerase II transcription factor B 73 kDa subunit) (RNA polymerase II transcription factor B p73 subunit) (RNA polymerase II transcription factor B subunit 1),TFB1 YDR311W D9740.3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),642,GO:0006974
P43609,RSC8_YEAST,reviewed,Chromatin structure-remodeling complex protein RSC8 (Remodel the structure of chromatin complex subunit 8) (SWI3 homolog),RSC8 SWH3 YFR037C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),557,GO:0006974
P38850,RT107_YEAST,reviewed,Regulator of Ty1 transposition protein 107 (Establishes silent chromatin protein 4),RTT107 ESC4 YHR154W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1070,GO:0006974
P53064,RTF1_YEAST,reviewed,RNA polymerase-associated protein RTF1,RTF1 CSL3 YGL244W HRA458,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),558,GO:0006974
B3LGJ2,SHU2_YEAS1,reviewed,Suppressor of hydroxyurea sensitivity protein 2,SHU2 SCRG_00437,Saccharomyces cerevisiae (strain RM11-1a) (Baker's yeast),223,GO:0006974
E7LSL5,SHU2_YEASV,reviewed,Suppressor of hydroxyurea sensitivity protein 2,SHU2 VIN13_0811,Saccharomyces cerevisiae (strain VIN 13) (Baker's yeast),223,GO:0006974
P32828,SLX5_YEAST,reviewed,E3 ubiquitin-protein ligase complex SLX5-SLX8 subunit SLX5 (EC 2.3.2.27) (Hexose metabolism-related protein HEX3) (RING-type E3 ubiquitin transferase SLX5) (Synthetic lethal of unknown function protein 5),SLX5 HEX3 YDL013W D2875,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),619,GO:0006974
Q06266,TOS4_YEAST,reviewed,Protein TOS4 (Target of SBF protein 4),TOS4 YLR183C L94705.22,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),489,GO:0006974
P36082,PSY1_YEAST,reviewed,Putative platinum sensitivity protein 1,PSY1 YKL076C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),127,GO:0006974
E7Q257,SHU2_YEASB,reviewed,Suppressor of hydroxyurea sensitivity protein 2,SHU2 FOSTERSB_0800,Saccharomyces cerevisiae (strain FostersB) (Baker's yeast),223,GO:0006974
P53397,OGG1_YEAST,reviewed,N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)],OGG1 YML060W YM9958.02,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),376,GO:0006974
P14736,RAD4_YEAST,reviewed,DNA repair protein RAD4,RAD4 YER162C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),754,GO:0006974
P53942,RNH2A_YEAST,reviewed,Ribonuclease H2 subunit A (RNase H2 subunit A) (EC 3.1.26.4) (RNase H(201)) (RNase H(35)) (Ribonuclease HI large subunit) (RNase HI large subunit) (Ribonuclease HI subunit A),RNH201 RNH35 YNL072W N2369,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),307,GO:0006974
Q06168,SFH1_YEAST,reviewed,Chromatin structure-remodeling complex subunit SFH1 (RSC complex subunit SFH1) (SNF5 homolog 1),SFH1 YLR321C L8543.4,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),426,GO:0006974
P40962,RTS2_YEAST,reviewed,Zinc finger protein RTS2,RTS2 YOR077W YOR29-28,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),232,GO:0006974
E7KLI6,SHU2_YEASL,reviewed,Suppressor of hydroxyurea sensitivity protein 2,SHU2 QA23_0811,Saccharomyces cerevisiae (strain Lalvin QA23) (Baker's yeast),223,GO:0006974
B3LT96,SLX4_YEAS1,reviewed,Structure-specific endonuclease subunit SLX4,SLX4 SCRG_05114,Saccharomyces cerevisiae (strain RM11-1a) (Baker's yeast),748,GO:0006974
P53853,VPS75_YEAST,reviewed,Vacuolar protein sorting-associated protein 75,VPS75 YNL246W N0890,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),264,GO:0006974
P12954,SRS2_YEAST,reviewed,ATP-dependent DNA helicase SRS2 (EC 3.6.4.12),SRS2 HPR5 RADH YJL092W J0913,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1174,GO:0006974
P38751,SHU1_YEAST,reviewed,Suppressor of HU sensitivity involved in recombination protein 1,SHU1 YHL006C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),150,GO:0006974
P40316,SECU_YEAST,reviewed,Securin,PDS1 YDR113C YD9727.08C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),373,GO:0006974
Q3E7C1,TFB5_YEAST,reviewed,General transcription and DNA repair factor IIH subunit TFB5 (TFIIH subunit TFB5) (RNA polymerase II transcription factor B subunit 5),TFB5 YDR079C-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),72,GO:0006974
P34760,TSA1_YEAST,reviewed,Peroxiredoxin TSA1 (Prx) (EC 1.11.1.24) (Cytoplasmic thiol peroxidase 1) (cTPx 1) (Protector protein) (PRP) (Thiol-specific antioxidant protein 1) (Thioredoxin peroxidase type Ia) (TPx type Ia) (Thioredoxin-dependent peroxide reductase) (Thioredoxin-dependent peroxiredoxin TSA1),TSA1 TPX1 TSA ZRG14 YML028W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),196,GO:0006974
Q03796,TPP1_YEAST,reviewed,Polynucleotide 3'-phosphatase (EC 3.1.3.32) (2'(3')-polynucleotidase) (DNA 3'-phosphatase) (Three prime phosphatase),TPP1 YMR156C YM8520.05C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),238,GO:0006974
P47168,TTI2_YEAST,reviewed,TEL2-interacting protein 2,TTI2 YJR136C J2124,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),421,GO:0006974
P06104,UBC2_YEAST,reviewed,Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2),RAD6 UBC2 YGL058W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),172,GO:0006974
P33301,XRS2_YEAST,reviewed,DNA repair protein XRS2,XRS2 YDR369C D9481.13,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),854,GO:0006974
E7QCS8,SHU2_YEASZ,reviewed,Suppressor of hydroxyurea sensitivity protein 2,SHU2 VL3_0812,Saccharomyces cerevisiae (strain Zymaflore VL3) (Baker's yeast),223,GO:0006974
P38806,YNG2_YEAST,reviewed,Chromatin modification-related protein YNG2 (ESA1-associated factor 4) (ING1 homolog 2),YNG2 EAF4 NBN1 YHR090C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),282,GO:0006974
P87269,YD433_YEAST,reviewed,Putative uncharacterized protein YDR433W,YDR433W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),146,GO:0006974
P46674,SAC3_YEAST,reviewed,Nuclear mRNA export protein SAC3 (Leucine permease transcriptional regulator),SAC3 LEP1 YDR159W YD8358.13,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1301,GO:0006974
B5VN64,SLX4_YEAS6,reviewed,Structure-specific endonuclease subunit SLX4,SLX4 AWRI1631_121840,Saccharomyces cerevisiae (strain AWRI1631) (Baker's yeast),748,GO:0006974
P38838,WSS1_YEAST,reviewed,DNA-dependent metalloprotease WSS1 (EC 3.4.24.-) (DNA damage response protein WSS1) (SUMO-dependent isopeptidase WSS1) (Weak suppressor of SMT3 protein 1),WSS1 YHR134W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),269,GO:0006974
P53552,THO2_YEAST,reviewed,THO complex subunit 2 (Low dye-binding protein 5) (THO complex subunit RLR1) (Zinc-regulated gene 13 protein),THO2 LDB5 RLR1 ZRG13 YNL139C N1209 N1835,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1597,GO:0006974
P32832,RSC7_YEAST,reviewed,Chromatin structure-remodeling complex subunit RSC7 (Nuclear protein localization protein 6) (Remodel the structure of chromatin complex subunit 7),NPL6 RSC7 YMR091C YM9582.16C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),435,GO:0006974
Q07478,SUB2_YEAST,reviewed,ATP-dependent RNA helicase SUB2 (EC 3.6.4.13) (Suppressor of BRR1 protein 2),SUB2 YDL084W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),446,GO:0006974
Q04673,SSL1_YEAST,reviewed,General transcription and DNA repair factor IIH subunit SSL1 (TFIIH subunit SSL1) (RNA polymerase II transcription factor B subunit SSL1) (TFB subunit SSL1) (Suppressor of stem-loop protein 1),SSL1 YLR005W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),461,GO:0006974
P40151,WRIP1_YEAST,reviewed,DNA-dependent ATPase MGS1 (Maintenance of genome stability protein 1),MGS1 YNL218W N1302,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),587,GO:0006974
P35817,BDF1_YEAST,reviewed,Bromodomain-containing factor 1,BDF1 YLR399C L8084.18,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),686,GO:0006974
Q07442,BDF2_YEAST,reviewed,Bromodomain-containing factor 2,BDF2 YDL070W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),638,GO:0006974
Q04110,ECM11_YEAST,reviewed,Protein ECM11 (Extracellular mutant protein 11),ECM11 YDR446W D9461.31,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),302,GO:0006974
Q06337,EAF1_YEAST,reviewed,Chromatin modification-related protein EAF1 (ESA1-associated factor 1) (Vacuolar import and degradation protein 21),EAF1 VID21 YDR359C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),982,GO:0006974
P38111,ATR_YEAST,reviewed,Serine/threonine-protein kinase MEC1 (EC 2.7.11.1) (ATR homolog) (DNA-damage checkpoint kinase MEC1) (Mitosis entry checkpoint protein 1),MEC1 ESR1 SAD3 YBR136W YBR1012,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2368,GO:0006974
Q12050,ELG1_YEAST,reviewed,Telomere length regulation protein ELG1 (Regulator of Ty1 transposition protein 110) (Telomere elongation suppressor ELG1),ELG1 RTT110 YOR144C O3510 YOR3510C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),791,GO:0006974
P53930,AF9_YEAST,reviewed,Protein AF-9 homolog,YAF9 YNL107W N1966,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),226,GO:0006974
P39995,EAF5_YEAST,reviewed,Chromatin modification-related protein EAF5 (ESA1-associated factor 5),EAF5 YEL018W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),279,GO:0006974
Q3E835,CENPS_YEAST,reviewed,Inner kinetochore subunit MHF1 (CENP-S homolog) (Constitutive centromere-associated network protein MHF1) (MHF histone-fold complex subunit 1) (MPH1-associated histone-fold protein 1),MHF1 YOL086W-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),90,GO:0006974
P04819,DNLI1_YEAST,reviewed,DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1),CDC9 YDL164C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),755,GO:0006974
Q04659,CSM3_YEAST,reviewed,Chromosome segregation in meiosis protein 3,CSM3 YMR048W YM9796.01,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),317,GO:0006974
P40986,CDC1_YEAST,reviewed,Cell division control protein 1 (EC 3.1.-.-),CDC1 DSR1 ESP2 YDR182W YD9395.16,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),491,GO:0006974
P85052,BUD25_YEAST,reviewed,Bud site selection protein 25,BUD25 YER014C-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),153,GO:0006974
P38903,2A5D_YEAST,reviewed,"Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)",RTS1 SCS1 YOR014W OR26.04,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),757,GO:0006974
Q08702,APTX_YEAST,reviewed,Aprataxin-like protein (EC 3.6.1.71) (EC 3.6.1.72) (Hit family protein 3),HNT3 YOR258W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),217,GO:0006974
Q07457,BRE1_YEAST,reviewed,E3 ubiquitin-protein ligase BRE1 (EC 2.3.2.27) (Brefeldin A-sensitivity protein 1) (RING-type E3 ubiquitin transferase BRE1),BRE1 YDL074C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),700,GO:0006974
Q3E829,CENPX_YEAST,reviewed,Inner kinetochore subunit MHF2 (CENP-X homolog) (Constitutive centromere-associated network protein MHF2) (MHF histone-fold complex subunit 2) (MPH1-associated histone-fold protein 2),MHF2 YDL160C-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),80,GO:0006974
P47112,CDT1_YEAST,reviewed,Cell division cycle protein CDT1 (SIC1 indispensable protein 2) (Topoisomerase-A hypersensitive protein 11),TAH11 CDT1 SID2 YJR046W J1641,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),604,GO:0006974
P06778,RAD52_YEAST,reviewed,DNA repair and recombination protein RAD52,RAD52 YML032C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),471,GO:0006974
P32597,STH1_YEAST,reviewed,Nuclear protein STH1/NPS1 (EC 3.6.4.12) (ATP-dependent helicase STH1) (Chromatin structure-remodeling complex protein STH1) (SNF2 homolog),STH1 NPS1 YIL126W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1359,GO:0006974
Q06488,RSC2_YEAST,reviewed,Chromatin structure-remodeling complex subunit RSC2 (RSC complex subunit RSC2) (Remodel the structure of chromatin complex subunit 2),RSC2 YLR357W L9638.1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),889,GO:0006974
P53135,SLD3_YEAST,reviewed,DNA replication regulator SLD3,SLD3 YGL113W G2980,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),668,GO:0006974
